	carrier_name	ave_arrivals	ave_delayed	ave_cancelled	ave_diverted	ave_ontime
0	Aloha Airlines Inc.	29849.0	0.0660504247953608	391.666666666667	12.0	0.933949575204639
1	Hawaiian Airlines Inc.	59384.818181818206	0.0750449887849073	161.454545454545	35.8181818181818	0.9249550112150929
2	Endeavor Air Inc.	119950.0	0.14308461859108	1691.0	186.0	0.85691538140892
3	Virgin America	43529.0	0.167297271201145	240.25	71.75	0.832702728798855
4	Alaska Airlines Inc.	138419.545454545	0.17134153754150397	1403.0	399.63636363636397	0.828658462458496
